,Name,Age,Position,Club,Nationality
442, I. Hagi,21,RW,Rangers FC,Romania
443, O. Skipp,19,CDM,Norwich City,England
444, M. Neuer,34,GK,FC Bayern Munchen,Germany
445, Emerson,25,LB,Chelsea,Italy
446, T. Mings,27,CB,Aston Villa,England
447, J. Andersen,24,CB,Fulham,Denmark
448, Nelson Semedo,26,RWB,Wolverhampton Wanderers,Portugal
449, S. Berge,22,CDM,Sheffield United,Norway
450, M. Thuram,22,LM,Borussia Monchengladbach,France
451, E. Mor,22,RM,RC Celta,Turkey
452, M. Edwards,21,RW,Vitoria Guimaraes,England
453, E. Barco,21,LM,Atlanta United,Argentina
454, P. Estupinan,22,LB,Villarreal CF,Ecuador
455, Renan Lodi,22,LB,Atletico Madrid,Brazil
456, Francisco Conceicao,17,RM,FC Porto,Portugal
457, L. Ocampos,25,LW,Sevilla FC,Argentina
458, A. Miranchuk,24,CAM,Atalanta,Russia
459, L. Jovic,22,ST,Eintracht Frankfurt,Serbia
460, Gabriel,22,CB,Arsenal,Brazil
461, Angelino,23,LWB,RB Leipzig,Spain
462, D. Rossi,22,LW,Los Angeles FC,Uruguay
463, S. de Vrij,28,CB,Inter,Netherlands
464, F. Kostic,27,LM,Eintracht Frankfurt,Serbia
465, J. Oblak,27,GK,Atletico Madrid,Slovenia
466, N. Katterbach,19,LB,1. FC Koln,Germany
467, Unai Simon,23,GK,Athletic Club de Bilbao,Spain
468, L. Diaz,23,LM,FC Porto,Colombia
469, J. Ferreira,19,ST,FC Dallas,United States
470, K. Hoever,18,RWB,Wolverhampton Wanderers,Netherlands
471, J. Henderson,30,CDM,Liverpool,England
472, M. Johansson,28,RB,Genclerbirligi SK,Sweden
473, D. Boyata,29,CB,Hertha BSC,Belgium
474, Rafinha,27,CM,Paris Saint-Germain,Brazil
475, J. Rodon,22,CB,Tottenham Hotspur,Wales
476, V. Rosier,23,RB,Besiktas JK,France
477, T. Alarcon,20,CDM,,Chile
478, Douglas Luiz,22,CDM,Aston Villa,Brazil
479, M. Daramy,18,RM,FC Kobenhavn,Denmark
480, M. Ginter,26,CB,Borussia Monchengladbach,Germany
481, Marco Asensio,24,RW,Real Madrid,Spain
482, M. Gomez,23,ST,Valencia CF,Uruguay
483, A. Saelemaekers,21,RM,Milan,Belgium
485, L. Muriel,29,ST,Atalanta,Colombia
486, Fabinho,26,CDM,Liverpool,Brazil
487, A. Romagnoli,25,CB,Milan,Italy
488, M. Simakan,20,CB,RC Strasbourg Alsace,France
489, M. Reus,31,CAM,Borussia Dortmund,Germany
490, K. Zouma,25,CB,Chelsea,France
491, R. Guerreiro,26,LB,Borussia Dortmund,Portugal
492, J. Larsson,23,ST,Spartak Moscow,Sweden
493, R. Nelson,20,RM,Arsenal,England
494, Diogo Dalot,21,RB,Milan,Portugal
495, M. Bakker,20,LB,Paris Saint-Germain,Netherlands
496, Reguilon,23,LB,Tottenham Hotspur,Spain
497, J. Todibo,20,CB,OGC Nice,France
498, M. Olise,18,CAM,Reading,France
499, L. Hradecky,30,GK,Bayer 04 Leverkusen,Finland
500, T. Hazard,27,LM,Borussia Dortmund,Belgium
501, F. Grillitsch,24,CM,TSG 1899 Hoffenheim,Austria
502, C. Nkunku,22,CAM,RB Leipzig,France
503, Y. Herrera,22,CM,Granada CF,Venezuela
504, E. Alvarez,22,CDM,Ajax,Mexico
505, S. Arzamendia,22,LB,Cerro Porteno,Paraguay
506, Mario Fernandes,29,RWB,PFC CSKA Moscow,Russia
507, F. Bernardeschi,26,CAM,Juventus,Italy
508, G. Raspadori,20,ST,Sassuolo,Italy
509, D. Blind,30,CB,Ajax,Netherlands
510, S. Berghuis,28,RW,Feyenoord,Netherlands
511, L. Digne,26,LB,Everton,France
512, Inaki Williams,26,ST,Athletic Club de Bilbao,Spain
513, D. Mertens,33,CF,Napoli,Belgium
514, L. Traore,19,ST,Ajax,Burkina Faso
515, Iniesta,36,CM,Vissel Kobe,Spain
516, W. Zaha,27,CF,Crystal Palace,Ivory Coast
517, P. Gollini,25,GK,Atalanta,Italy
518, M. Arambarri,24,CDM,Getafe CF,Uruguay
519, M. Olivera,22,LB,Getafe CF,Uruguay
520, A. Tchouameni,20,CM,AS Monaco,France
521, De Gea,29,GK,Manchester United,Spain
